pair1,pair2,action1,action2,ratio,z_score,signal_type,signal_time,signal_strength,stop_loss_z
AUD_USD,EUR_GBP,BUY,SELL,-0.5004885531300614,-2.85696346300089,ENTRY,2025-04-07T19:00:19.624430,1.85696346300089,-6.8569634630008895
EUR_JPY,EUR_GBP,BUY,SELL,223.7397703952824,-2.213671578486009,ENTRY,2025-04-07T19:00:19.624516,1.213671578486009,-6.213671578486009
